Долгосрочный S&P
Сортировка по позиции в рейтинге на дату: 01 Января 2022 г. (обновление по состоянию на 31 Января 2022 г.)
(BBB-) АЛЬФА-БАНК
 (BBB-) ВТБ
(BBB-) ГПБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(BB-) ИНГОССТРАХ БАНК
(B+) РЕНЕССАНС КРЕДИТ
(B+) ЦЕНТРОКРЕДИТ
(B) РУССКИЙ СТАНДАРТ
(B) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Декабря 2021 г. (обновление по состоянию на 25 Декабря 2021 г.)
(BBB-) АЛЬФА-БАНК
 (BBB-) ВТБ
(BBB-) ГПБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(BB-) ИНГОССТРАХ БАНК
(B+) РЕНЕССАНС КРЕДИТ
(B+) ЦЕНТРОКРЕДИТ
(B) РУССКИЙ СТАНДАРТ
(B) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Ноября 2021 г. (обновление по состоянию на 26 Ноября 2021 г.)
(BBB-) АЛЬФА-БАНК
 (BBB-) ВТБ
(BBB-) ГПБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(BB-) ИНГОССТРАХ БАНК
(B+) РЕНЕССАНС КРЕДИТ
(B+) ЦЕНТРОКРЕДИТ
(B) РУССКИЙ СТАНДАРТ
(B) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Октября 2021 г. (обновление по состоянию на 28 Октября 2021 г.)
(BBB-) АЛЬФА-БАНК
 (BBB-) ВТБ
(BBB-) ГПБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(BB-) ИНГОССТРАХ БАНК
(B+) РЕНЕССАНС КРЕДИТ
(B+) ЦЕНТРОКРЕДИТ
(B) РУССКИЙ СТАНДАРТ
(B) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Сентября 2021 г. (обновление по состоянию на 23 Сентября 2021 г.)
 (BBB-) ВТБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(B+) ИНГОССТРАХ БАНК
(B+) РЕНЕССАНС КРЕДИТ
(B) РУССКИЙ СТАНДАРТ
(B) ЦЕНТРОКРЕДИТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Августа 2021 г. (обновление по состоянию на 25 Августа 2021 г.)
 (BBB-) ВТБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(B+) ИНГОССТРАХ БАНК
(B+) РЕНЕССАНС КРЕДИТ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Июля 2021 г. (дата не точная  обычно рейтинг обновляется 12-15 числа каждого месяца)
 (BBB-) ВТБ
(BBB-) РАЙФФАЙЗЕНБАНК
(BBB-) ЮНИКРЕДИТ БАНК
(BB+) АВТО ФИНАНС БАНК
(BB+) АЛЬФА-БАНК
(BB+) ГПБ
(BB) МОСКОВСКИЙ КРЕДИТНЫЙ БАНК
(BB) ПРОМСВЯЗЬБАНК
(BB) СОВКОМБАНК
(B+) ИНГОССТРАХ БАНК
(B) РЕНЕССАНС КРЕДИТ
(B) ЦЕНТРОКРЕДИТ
(B-) РУССКИЙ СТАНДАРТ
(B-) УБРИР
Сортировка по позиции в рейтинге на дату: 01 Июня 2021 г. (обновление по состоянию на 25 Июня 2021 г.)
