Сортировка по позиции в рейтинге на дату: 01 Декабря 2016 г. (обновление по состоянию на 15 Декабря 2016 г.)
(B++ (1)) УГЛЕМЕТБАНК
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) РУССКИЙ ТРАСТОВЫЙ БАНК
(B++ (3)) ЭЛИТА
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(C+) БАЛТИНВЕСТБАНК
(C+) БФГ-КРЕДИТ
Сортировка по позиции в рейтинге на дату: 01 Апреля 2016 г. (обновление по состоянию на 18 Апреля 2016 г.)
(A+) ОБРАЗОВАНИЕ
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) ПРИМОРЬЕ
(A (3)) РУБЛЕВ
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) РУССКИЙ ТРАСТОВЫЙ БАНК
(B++ (3)) ЭЛИТА
(B+) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(B) БФГ-КРЕДИТ
(C+) БАЛТИНВЕСТБАНК
(C+) СОЦИНВЕСТБАНК
Сортировка по позиции в рейтинге на дату: 01 Марта 2016 г. (обновление по состоянию на 17 Марта 2016 г.)
(A+) ОБРАЗОВАНИЕ
(A (1)) БФГ-КРЕДИТ
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) ПРИМОРЬЕ
(A (3)) РУБЛЕВ
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (2)) ЙОШКАР-ОЛА
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) РУССКИЙ ТРАСТОВЫЙ БАНК
(B++ (3)) ЭЛИТА
(B+) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(C+) БАЛТИНВЕСТБАНК
(C+) СОЦИНВЕСТБАНК
Сортировка по позиции в рейтинге на дату: 01 Февраля 2016 г. (обновление по состоянию на 15 Февраля 2016 г.)
(A+) ОБРАЗОВАНИЕ
(A (1)) БФГ-КРЕДИТ
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) ПРИМОРЬЕ
(A (3)) РУБЛЕВ
(B++ (2)) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (2)) ЙОШКАР-ОЛА
(B++ (2)) ПИР БАНК
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) РУССКИЙ ТРАСТОВЫЙ БАНК
(B++ (3)) ЭЛИТА
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(C+) БАЛТИНВЕСТБАНК
(C+) СОЦИНВЕСТБАНК
Сортировка по позиции в рейтинге на дату: 01 Января 2016 г. (обновление по состоянию на 26 Января 2016 г.)
(A+) ОБРАЗОВАНИЕ
(A+) ТАТФОНДБАНК
(A (1)) БФГ-КРЕДИТ
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) ПРИМОРЬЕ
(A (3)) РУБЛЕВ
(B++ (2)) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (2)) ЙОШКАР-ОЛА
(B++ (2)) ПИР БАНК
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) РУССКИЙ ТРАСТОВЫЙ БАНК
(B++ (3)) ЭЛИТА
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(C+) БАЛТИНВЕСТБАНК
(C+) СОЦИНВЕСТБАНК
Сортировка по позиции в рейтинге на дату: 01 Декабря 2015 г. (обновление по состоянию на 15 Декабря 2015 г.)
(A+) ОБРАЗОВАНИЕ
(A+) ТАТФОНДБАНК
(A (1)) БФГ-КРЕДИТ
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) ПРИМОРЬЕ
(A (3)) РУБЛЕВ
(B++ (2)) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (2)) ЙОШКАР-ОЛА
(B++ (2)) ПИР БАНК
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) РУССКИЙ ТРАСТОВЫЙ БАНК
(B++ (3)) ЭЛИТА
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(C+) БАЛТИНВЕСТБАНК
(C+) СОЦИНВЕСТБАНК
Сортировка по позиции в рейтинге на дату: 01 Ноября 2015 г. (обновление по состоянию на 16 Ноября 2015 г.)
(A+) ОБРАЗОВАНИЕ
(A+) ТАТФОНДБАНК
(A (1)) БФГ-КРЕДИТ
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) ПРИМОРЬЕ
(A (3)) РУБЛЕВ
(B++ (1)) БАЛТИНВЕСТБАНК
(B++ (1)) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (2)) ЙОШКАР-ОЛА
(B++ (2)) ПИР БАНК
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) РУССКИЙ ТРАСТОВЫЙ БАНК
(B++ (3)) ЭЛИТА
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(C+) СОЦИНВЕСТБАНК
Сортировка по позиции в рейтинге на дату: 01 Октября 2015 г. (обновление по состоянию на 15 Октября 2015 г.)
(A+) БАЛТИНВЕСТБАНК
(A+) ОБРАЗОВАНИЕ
(A+) ТАТФОНДБАНК
(A (1)) БФГ-КРЕДИТ
(A (1)) ПРИМОРЬЕ
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) РУБЛЕВ
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) РСБ 24
(B++ (1)) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (2)) ЙОШКАР-ОЛА
(B++ (2)) ПИР БАНК
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) РУССКИЙ ТРАСТОВЫЙ БАНК
(B++ (3)) ЭЛИТА
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(C+) СОЦИНВЕСТБАНК
Сортировка по позиции в рейтинге на дату: 01 Сентября 2015 г. (обновление по состоянию на 14 Сентября 2015 г.)
(A+) БАЛТИНВЕСТБАНК
(A+) ОБРАЗОВАНИЕ
(A+) ТАТФОНДБАНК
(A (1)) БФГ-КРЕДИТ
(A (1)) ПРИМОРЬЕ
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) РУБЛЕВ
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) РСБ 24
(B++ (1)) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (2)) ЙОШКАР-ОЛА
(B++ (2)) ПИР БАНК
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) РУССКИЙ ТРАСТОВЫЙ БАНК
(B++ (3)) ЭЛИТА
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(C+) СОЦИНВЕСТБАНК
Сортировка по позиции в рейтинге на дату: 01 Августа 2015 г. (обновление по состоянию на 17 Августа 2015 г.)
(A+) БАЛТИНВЕСТБАНК
(A+) ОБРАЗОВАНИЕ
(A+) ТАТФОНДБАНК
(A (1)) БФГ-КРЕДИТ
(A (1)) ПРИМОРЬЕ
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) РУБЛЕВ
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) РСБ 24
(B++ (1)) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (2)) ЙОШКАР-ОЛА
(B++ (2)) ПИР БАНК
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) РУССКИЙ ТРАСТОВЫЙ БАНК
(B++ (3)) ЭЛИТА
(B+) МТЕМПБАНК
(B+) РИТЦ БАНК
(C+) СОЦИНВЕСТБАНК
Сортировка по позиции в рейтинге на дату: 01 Июля 2015 г. (обновление по состоянию на 14 Июля 2015 г.)
(A+) БАЛТИНВЕСТБАНК
(A+) ОБРАЗОВАНИЕ
(A+) ТАТФОНДБАНК
(A (1)) БФГ-КРЕДИТ
(A (1)) ПРИМОРЬЕ
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) РУБЛЕВ
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) РСБ 24
(B++ (1)) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B++ (1)) СОЦИНВЕСТБАНК
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИТ БАНК
(B++ (2)) ЙОШКАР-ОЛА
(B++ (2)) МТЕМПБАНК
(B++ (2)) ПИР БАНК
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) ЭЛИТА
(B+) РИТЦ БАНК
Сортировка по позиции в рейтинге на дату: 01 Июня 2015 г. (обновление по состоянию на 16 Июня 2015 г.)
(A+) БАЛТИНВЕСТБАНК
(A+) ОБРАЗОВАНИЕ
(A+) ТАТФОНДБАНК
(A (1)) БФГ-КРЕДИТ
(A (1)) ПРИМОРЬЕ
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) РУБЛЕВ
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) РСБ 24
(A (3)) СОЦИНВЕСТБАНК
(B++ (1)) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B++ (2)) ВЕНЕЦ
(B++ (2)) ИНВЕСТИЦИОННЫЙ СОЮЗ
(B++ (2)) ИТ БАНК
(B++ (2)) ЙОШКАР-ОЛА
(B++ (2)) МТЕМПБАНК
(B++ (2)) ПИР БАНК
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) ЭЛИТА
(B+) РИТЦ БАНК
Сортировка по позиции в рейтинге на дату: 01 Мая 2015 г. (обновление по состоянию на 16 Мая 2015 г.)
(A+) БАЛТИНВЕСТБАНК
(A+) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(A+) ОБРАЗОВАНИЕ
(A+) ТАТФОНДБАНК
(A (1)) БФГ-КРЕДИТ
(A (1)) ПРИМОРЬЕ
