iter	Passed	Remaining
262	1406	3940
263	1411	3934
264	1416	3928
265	1422	3924
266	1427	3919
267	1433	3914
268	1439	3910
269	1444	3905
270	1450	3901
271	1456	3897
272	1462	3895
273	1468	3889
274	1473	3884
275	1478	3879
276	1484	3873
277	1489	3867
278	1494	3862
279	1500	3858
280	1505	3851
281	1510	3846
282	1515	3840
283	1520	3834
284	1526	3829
285	1531	3823
286	1538	3821
287	1544	3819
288	1551	3816
289	1556	3811
290	1562	3806
291	1567	3799
292	1573	3797
293	1579	3792
294	1585	3789
295	1591	3786
296	1597	3780
297	1602	3775
298	1607	3769
299	1612	3762
300	1617	3756
301	1622	3750
302	1627	3744
303	1632	3738
304	1637	3732
305	1642	3725
306	1647	3719
307	1652	3713
308	1657	3707
309	1662	3700
310	1667	3694
311	1672	3688
312	1677	3681
313	1682	3675
314	1686	3668
315	1691	3660
316	1695	3653
317	1700	3646
318	1704	3639
319	1709	3633
320	1714	3625
321	1719	3619
322	1723	3613
323	1728	3606
324	1734	3601
325	1739	3596
326	1743	3588
327	1749	3584
328	1754	3578
329	1759	3572
330	1764	3566
331	1769	3560
332	1774	3554
333	1779	3548
334	1784	3541
335	1788	3535
336	1793	3529
337	1799	3523
338	1803	3517
339	1810	3513
340	1815	3508
341	1820	3502
342	1825	3497
343	1830	3491
344	1835	3485
345	1841	3480
346	1847	3475
347	1852	3471
348	1858	3465
349	1863	3461
350	1869	3457
351	1874	3451
352	1880	3446
353	1885	3440
354	1890	3434
355	1895	3428
356	1900	3422
357	1905	3416
358	1910	3410
359	1915	3404
360	1920	3398
361	1925	3393
362	1930	3387
363	1935	3381
364	1940	3375
365	1944	3368
366	1949	3362
367	1954	3357
368	1959	3351
369	1964	3345
370	1969	3339
371	1974	3332
372	1979	3327
373	1984	3321
374	1988	3314
375	1994	3310
376	1999	3304
377	2004	3298
378	2009	3292
379	2014	3286
380	2018	3280
381	2023	3274
382	2028	3268
383	2033	3262
384	2039	3257
385	2044	3252
386	2050	3247
387	2055	3242
388	2061	3238
389	2067	3233
390	2072	3228
391	2079	3224
392	2085	3221
393	2091	3216
394	2096	3211
395	2101	3205
396	2106	3199
397	2111	3193
398	2116	3188
399	2122	3183
400	2127	3177
401	2132	3172
402	2137	3166
403	2143	3161
404	2148	3156
405	2153	3150
406	2157	3143
407	2162	3138
408	2168	3133
409	2174	3129
410	2180	3124
411	2185	3118
412	2190	3113
413	2196	3109
414	2202	3105
415	2209	3101
416	2214	3096
417	2219	3090
418	2225	3085
419	2230	3079
420	2235	3074
421	2240	3069
422	2246	3064
423	2251	3058
424	2256	3052
425	2261	3046
426	2266	3040
427	2271	3036
428	2276	3030
429	2281	3024
430	2286	3018
431	2291	3012
432	2295	3006
433	2300	3000
434	2304	2993
435	2309	2987
436	2313	2981
437	2318	2974
438	2323	2968
439	2328	2963
440	2332	2956
441	2337	2950
442	2341	2944
443	2347	2939
444	2353	2934
445	2358	2929
446	2363	2923
447	2367	2917
448	2372	2911
449	2377	2905
450	2381	2899
451	2386	2893
452	2391	2887
453	2395	2881
454	2400	2875
455	2404	2868
456	2409	2863
457	2414	2857
458	2419	2851
459	2424	2845
460	2429	2840
461	2434	2834
462	2438	2828
463	2443	2822
464	2448	2817
465	2453	2811
466	2458	2805
467	2463	2800
468	2469	2795
469	2474	2790
470	2480	2786
471	2486	2781
472	2491	2775
473	2496	2770
474	2501	2765
475	2507	2759
476	2512	2754
477	2517	2748
478	2522	2743
479	2527	2738
480	2534	2734
481	2540	2730
482	2545	2724
483	2550	2719
484	2555	2713
485	2560	2707
486	2565	2702
487	2570	2696
488	2575	2691
489	2580	2685
490	2585	2679
491	2590	2674
492	2595	2669
493	2601	2664
494	2606	2659
495	2612	2654
496	2617	2649
497	2623	2644
498	2628	2639
499	2634	2634
500	2639	2629
501	2644	2623
502	2649	2618
503	2654	2612
504	2659	2606
505	2664	2600
506	2668	2595
507	2673	2589
508	2678	2583
509	2683	2578
510	2688	2572
511	2693	2567
512	2698	2562
513	2704	2556
514	2710	2552
515	2715	2547
516	2720	2541
517	2725	2536
518	2730	2530
519	2735	2525
520	2740	2519
521	2745	2514
522	2750	2508
523	2755	2503
524	2760	2497
525	2765	2492
526	2770	2486
527	2775	2481
528	2780	2475
529	2785	2470
530	2791	2465
531	2796	2460
532	2804	2457
533	2809	2451
534	2814	2446
535	2819	2440
536	2824	2435
537	2829	2430
538	2834	2424
539	2839	2419
540	2845	2414
541	2850	2408
542	2856	2403
543	2861	2398
544	2866	2393
545	2872	2388
546	2877	2383
547	2882	2377
548	2888	2372
549	2893	2367
550	2899	2362
551	2904	2357
552	2909	2351
553	2914	2346
554	2919	2340
555	2924	2335
556	2929	2329
557	2934	2324
558	2939	2318
559	2944	2313
560	2950	2308
561	2955	2303
562	2961	2298
563	2966	2293
564	2972	2288
565	2977	2282
566	2982	2277
567	2988	2272
568	2993	2267
569	2998	2262
570	3004	2257
571	3009	2252
572	3015	2247
573	3020	2241
574	3026	2236
575	3032	2231
576	3037	2226
577	3043	2222
578	3048	2216
579	3054	2212
580	3060	2207
581	3066	2202
582	3071	2196
583	3076	2191
584	3081	2186
585	3086	2180
586	3091	2175
587	3095	2169
588	3100	2163
589	3105	2158
590	3110	2152
591	3114	2146
592	3119	2140
593	3123	2135
594	3128	2129
595	3132	2123
596	3137	2117
597	3142	2112
598	3146	2106
599	3151	2101
600	3156	2095
601	3162	2091
602	3168	2086
603	3175	2081
604	3180	2076
605	3186	2071
606	3191	2066
607	3196	2061
608	3201	2055
609	3207	2050
610	3212	2045
611	3217	2039
612	3222	2034
613	3227	2029
614	3232	2023
615	3237	2018
616	3242	2012
617	3247	2007
618	3252	2001
619	3256	1996
620	3261	1990
621	3266	1985
622	3270	1979
623	3275	1973
624	3280	1968
625	3285	1963
626	3291	1958
627	3297	1953
628	3303	1948
629	3309	1943
630	3315	1938
631	3321	1933
632	3326	1928
633	3332	1923
634	3338	1918
635	3343	1913
636	3349	1908
637	3354	1903
638	3359	1897
639	3364	1892
640	3369	1887
641	3375	1882
642	3380	1876
643	3384	1871
644	3389	1865
645	3394	1860
646	3399	1854
647	3404	1849
648	3409	1843
649	3413	1838
650	3419	1832
651	3423	1827
652	3428	1822
653	3434	1817
654	3440	1812
655	3445	1806
656	3449	1800
657	3454	1795
658	3459	1789
659	3463	1784
660	3469	1779
661	3474	1773
662	3479	1768
663	3484	1763
664	3491	1758
665	3498	1754
666	3503	1749
667	3508	1743
668	3514	1738
669	3519	1733
670	3524	1728
671	3530	1723
672	3535	1717
673	3541	1712
674	3546	1707
675	3552	1702
676	3557	1697
677	3562	1692
678	3568	1686
679	3573	1681
680	3578	1676
681	3583	1670
682	3588	1665
683	3593	1660
684	3598	1654
685	3604	1649
686	3610	1644
687	3614	1639
688	3619	1633
689	3624	1628
690	3629	1623
691	3634	1617
692	3640	1612
693	3645	1607
694	3650	1601
695	3654	1596
696	3659	1590
697	3664	1585
698	3670	1580
699	3675	1575
700	3681	1570
701	3686	1565
702	3692	1559
703	3697	1554
704	3703	1549
705	3709	1544
706	3714	1539
707	3718	1533
708	3723	1528
709	3728	1522
710	3732	1517
711	3737	1511
712	3741	1506
713	3746	1500
714	3750	1495
715	3755	1489
716	3760	1484
717	3765	1479
718	3770	1473
719	3775	1468
720	3781	1463
721	3786	1457
722	3791	1452
723	3796	1447
724	3801	1442
725	3807	1436
726	3812	1431
727	3816	1426
728	3821	1420
729	3826	1415
730	3831	1409
731	3836	1404
732	3841	1399
733	3845	1393
734	3850	1388
735	3855	1382
736	3859	1377
737	3864	1371
738	3869	1366
739	3875	1361
740	3881	1356
741	3887	1351
742	3893	1346
743	3898	1341
744	3904	1336
745	3909	1331
746	3915	1325
747	3920	1320
748	3925	1315
749	3931	1310
750	3936	1305
751	3941	1299
752	3946	1294
753	3951	1289
754	3956	1283
755	3961	1278
756	3967	1273
757	3973	1268
758	3978	1263
759	3984	1258
760	3989	1253
761	3994	1247
762	4000	1242
763	4005	1237
764	4011	1232
765	4016	1226
766	4022	1221
767	4027	1216
768	4033	1211
769	4038	1206
770	4044	1201
771	4049	1195
772	4054	1190
773	4059	1185
774	4064	1180
775	4069	1174
776	4075	1169
777	4080	1164
778	4085	1159
779	4090	1153
780	4096	1148
781	4101	1143
782	4106	1138
783	4111	1132
784	4117	1127
785	4122	1122
786	4128	1117
787	4134	1112
788	4140	1107
789	4146	1102
790	4152	1097
791	4158	1092
792	4164	1087
793	4170	1081
794	4175	1076
795	4182	1071
796	4188	1066
797	4193	1061
798	4199	1056
799	4205	1051
800	4210	1046
801	4216	1040
802	4222	1035
803	4227	1030
804	4232	1025
805	4238	1020
806	4244	1015
807	4250	1009
808	4255	1004
809	4260	999
810	4265	993
811	4270	988
812	4274	983
813	4279	977
814	4284	972
815	4288	967
816	4293	961
817	4298	956
818	4302	950
819	4307	945
820	4312	940
821	4317	934
822	4322	929
823	4328	924
824	4334	919
825	4340	914
826	4346	909
827	4352	904
828	4357	898
829	4363	893
830	4368	888
831	4374	883
832	4380	878
833	4386	873
834	4392	867
835	4397	862
836	4402	857
837	4407	852
838	4413	846
839	4419	841
840	4425	836
841	4430	831
842	4435	826
843	4440	820
844	4445	815
845	4452	810
846	4462	806
847	4470	801
848	4476	796
849	4481	790
850	4486	785
851	4492	780
852	4497	775
853	4501	769
854	4507	764
855	4512	759
856	4517	753
857	4521	748
858	4526	743
859	4531	737
860	4535	732
861	4541	726
862	4546	721
863	4551	716
864	4556	711
865	4561	705
866	4566	700
867	4571	695
868	4576	689
869	4580	684
870	4586	679
871	4592	674
872	4596	668
873	4601	663
874	4606	658
875	4611	652
876	4617	647
877	4623	642
878	4629	637
879	4634	631
880	4639	626
881	4645	621
882	4650	616
883	4655	610
884	4661	605
885	4666	600
886	4670	595
887	4675	589
888	4680	584
889	4684	579
890	4689	573
891	4694	568
892	4698	563
893	4703	557
894	4708	552
895	4714	547
896	4719	541
897	4725	536
898	4731	531
899	4736	526
900	4742	521
901	4747	515
902	4753	510
903	4758	505
904	4764	500
905	4769	494
906	4774	489
907	4780	484
908	4786	479
909	4791	473
910	4797	468
911	4802	463
912	4807	458
913	4812	452
914	4817	447
915	4822	442
916	4827	436
917	4832	431
918	4837	426
919	4843	421
920	4848	415
921	4853	410
922	4859	405
923	4865	400
924	4871	394
925	4876	389
926	4881	384
927	4887	379
928	4892	373
929	4897	368
930	4902	363
931	4907	358
932	4912	352
933	4917	347
934	4922	342
935	4926	336
936	4932	331
937	4937	326
938	4942	321
939	4947	315
940	4952	310
941	4957	305
942	4963	300
943	4968	294
944	4974	289
945	4979	284
946	4984	278
947	4990	273
948	4995	268
949	5001	263
950	5006	257
951	5011	252
952	5016	247
953	5021	242
954	5026	236
955	5032	231
956	5037	226
957	5042	221
958	5048	215
959	5054	210
960	5060	205
961	5066	200
962	5071	194
963	5076	189
964	5083	184
965	5088	179
966	5094	173
967	5099	168
968	5105	163
969	5110	158
970	5115	152
971	5120	147
972	5125	142
973	5130	136
974	5135	131
975	5140	126
976	5145	121
977	5150	115
978	5155	110
979	5160	105
980	5165	100
981	5170	94
982	5175	89
983	5180	84
984	5185	78
985	5190	73
986	5196	68
987	5201	63
988	5207	57
989	5212	52
990	5218	47
991	5223	42
992	5229	36
993	5233	31
994	5239	26
995	5244	21
996	5248	15
997	5253	10
998	5258	5
999	5262	0
